symbol,epoch,slug,orders_placed,orders_filled,orders_open,allocation_usdc,total_proceeds_usdc,yes_filled,no_filled,yes_unfilled,no_unfilled,pnl_if_yes_wins_usdc,pnl_if_no_wins_usdc,epoch_end_utc
eth,5m,eth-updown-5m-1775097900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:50:00Z
eth,5m,eth-updown-5m-1775097600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:45:00Z
eth,5m,eth-updown-5m-1775097300,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T02:40:00Z
eth,5m,eth-updown-5m-1775097000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:35:00Z
eth,5m,eth-updown-5m-1775096700,7,7,0,100.0,103.9,100.0,100.0,0.0,0.0,3.9,3.9,2026-04-02T02:30:00Z
eth,5m,eth-updown-5m-1775096400,8,8,0,100.0,103.7,100.0,100.0,0.0,0.0,3.7,3.7,2026-04-02T02:25:00Z
eth,5m,eth-updown-5m-1775096100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:20:00Z
eth,5m,eth-updown-5m-1775095800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:15:00Z
eth,5m,eth-updown-5m-1775095500,2,2,0,100.0,99.0,100.0,100.0,0.0,0.0,-1.0,-1.0,2026-04-02T02:10:00Z
eth,5m,eth-updown-5m-1775095200,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:05:00Z
eth,5m,eth-updown-5m-1775094900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T02:00:00Z
eth,5m,eth-updown-5m-1775094600,4,4,0,100.0,104.7,100.0,100.0,0.0,0.0,4.7,4.7,2026-04-02T01:55:00Z
eth,5m,eth-updown-5m-1775094300,2,2,0,100.0,101.0,100.0,100.0,0.0,0.0,1.0,1.0,2026-04-02T01:50:00Z
eth,5m,eth-updown-5m-1775094000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:45:00Z
eth,5m,eth-updown-5m-1775093700,11,11,0,100.0,101.7,100.0,100.0,0.0,0.0,1.7,1.7,2026-04-02T01:40:00Z
eth,5m,eth-updown-5m-1775093400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:35:00Z
eth,5m,eth-updown-5m-1775093100,5,5,0,100.0,104.1,100.0,100.0,0.0,0.0,4.1,4.1,2026-04-02T01:30:00Z
eth,5m,eth-updown-5m-1775092800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:25:00Z
eth,5m,eth-updown-5m-1775092500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:20:00Z
eth,5m,eth-updown-5m-1775092200,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:15:00Z
eth,5m,eth-updown-5m-1775091900,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:10:00Z
eth,5m,eth-updown-5m-1775091600,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T01:05:00Z
eth,5m,eth-updown-5m-1775091300,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T01:00:00Z
eth,5m,eth-updown-5m-1775091000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T00:55:00Z
eth,5m,eth-updown-5m-1775090700,11,11,0,100.0,103.1,100.0,100.0,0.0,0.0,3.1,3.1,2026-04-02T00:50:00Z
eth,5m,eth-updown-5m-1775090400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T00:45:00Z
eth,5m,eth-updown-5m-1775090100,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T00:40:00Z
eth,5m,eth-updown-5m-1775089800,4,4,0,100.0,102.7,100.0,100.0,0.0,0.0,2.7,2.7,2026-04-02T00:35:00Z
eth,5m,eth-updown-5m-1775089500,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-02T00:30:00Z
eth,5m,eth-updown-5m-1775089200,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-02T00:25:00Z
eth,5m,eth-updown-5m-1775088900,5,5,0,100.0,104.1,100.0,100.0,0.0,0.0,4.1,4.1,2026-04-02T00:20:00Z
eth,5m,eth-updown-5m-1775088600,6,6,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-02T00:15:00Z
eth,5m,eth-updown-5m-1775088300,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-02T00:10:00Z
eth,5m,eth-updown-5m-1775088000,2,2,0,100.0,103.0,100.0,100.0,0.0,0.0,3.0,3.0,2026-04-02T00:05:00Z
eth,5m,eth-updown-5m-1775087700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-02T00:00:00Z
eth,5m,eth-updown-5m-1775087400,7,7,0,100.0,104.1,100.0,100.0,0.0,0.0,4.1,4.1,2026-04-01T23:55:00Z
eth,5m,eth-updown-5m-1775087100,1,1,0,100.0,6.0,100.0,0,0.0,100.0,-94.0,6.0,2026-04-01T23:50:00Z
eth,5m,eth-updown-5m-1775086800,3,3,0,100.0,101.9,100.0,100.0,0.0,0.0,1.9,1.9,2026-04-01T23:45:00Z
eth,5m,eth-updown-5m-1775086500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T23:40:00Z
eth,5m,eth-updown-5m-1775086200,2,2,0,100.0,54.0,100.0,100.0,0.0,0.0,-46.0,-46.0,2026-04-01T23:35:00Z
eth,5m,eth-updown-5m-1775085900,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-01T23:30:00Z
eth,5m,eth-updown-5m-1775085600,11,11,0,100.0,103.1,100.0,100.0,0.0,0.0,3.1,3.1,2026-04-01T23:25:00Z
eth,5m,eth-updown-5m-1775085300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T23:20:00Z
eth,5m,eth-updown-5m-1775085000,5,5,0,100.0,104.3,100.0,100.0,0.0,0.0,4.3,4.3,2026-04-01T23:15:00Z
eth,5m,eth-updown-5m-1775084700,2,2,0,100.0,48.0,100.0,100.0,0.0,0.0,-52.0,-52.0,2026-04-01T23:10:00Z
eth,5m,eth-updown-5m-1775084400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T23:05:00Z
eth,5m,eth-updown-5m-1775084100,2,2,0,100.0,102.0,100.0,100.0,0.0,0.0,2.0,2.0,2026-04-01T23:00:00Z
eth,5m,eth-updown-5m-1775083800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:55:00Z
eth,5m,eth-updown-5m-1775083500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:50:00Z
eth,5m,eth-updown-5m-1775083200,5,5,0,100.0,103.47,100.0,100.0,0.0,0.0,3.47,3.47,2026-04-01T22:45:00Z
eth,5m,eth-updown-5m-1775082900,6,6,0,100.0,103.54,100.0,100.0,0.0,0.0,3.54,3.54,2026-04-01T22:40:00Z
eth,5m,eth-updown-5m-1775082600,2,2,0,100.0,44.0,100.0,100.0,0.0,0.0,-56.0,-56.0,2026-04-01T22:35:00Z
eth,5m,eth-updown-5m-1775082300,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:30:00Z
eth,5m,eth-updown-5m-1775082000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:25:00Z
eth,5m,eth-updown-5m-1775081700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:20:00Z
eth,5m,eth-updown-5m-1775081400,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:15:00Z
eth,5m,eth-updown-5m-1775081100,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-01T22:10:00Z
eth,5m,eth-updown-5m-1775080800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:05:00Z
eth,5m,eth-updown-5m-1775080500,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T22:00:00Z
eth,5m,eth-updown-5m-1775080200,3,3,0,100.0,103.7,100.0,100.0,0.0,0.0,3.7,3.7,2026-04-01T21:55:00Z
eth,5m,eth-updown-5m-1775079900,2,2,0,100.0,101.0,100.0,100.0,0.0,0.0,1.0,1.0,2026-04-01T21:50:00Z
eth,5m,eth-updown-5m-1775079600,6,6,0,100.0,104.0,100.0,100.0,0.0,0.0,4.0,4.0,2026-04-01T21:45:00Z
eth,5m,eth-updown-5m-1775079300,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-01T21:40:00Z
eth,5m,eth-updown-5m-1775079000,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T21:35:00Z
eth,5m,eth-updown-5m-1775078700,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T21:30:00Z
eth,5m,eth-updown-5m-1775078400,2,2,0,100.0,101.0,100.0,100.0,0.0,0.0,1.0,1.0,2026-04-01T21:25:00Z
eth,5m,eth-updown-5m-1775078100,5,5,0,100.0,103.4,100.0,100.0,0.0,0.0,3.4,3.4,2026-04-01T21:20:00Z
eth,5m,eth-updown-5m-1775077800,0,0,0,100.0,0,0,0,100.0,100.0,0.0,0.0,2026-04-01T21:15:00Z
